V2467 Cyg 2007 2454174 2454175  7.4   8  20  207  917 ~19.    ---  O(20)
V2491 Cyg 2008 2454567 2454568  7.5   4  16   38  196 ~20.    ---  C(16)
HR Del    1967 2439645 2439838  3.6 167 231 1387  ---  12.1  6000  J(231)
DN Gem    1912 2419472 2419477  3.6  16  35  447 1395  15.6   ---  P(35)
DQ Her    1934 2427786 2427794  1.6  76 100  645 2010  14.3 12000  D(100)
V446 Her  1960 2437003 2437004  4.8  20  42  197  993  16.1   ---  S(42)
V533 Her  1963 2438056 2438061  3.0  30  43  238  688  15.0  1800  S(43)
V827 Her  1987 2446820 2446831  7.5  21  53  394  ---  18.1   ---  S(53)
V838 Her  1991 2448339 2448341  5.3   1   4   13   40  19.1   ---  P(4)
CP Lac    1936 2428337 2428340  2.0   5   9   78  436  15.0  4300  S(9)
DK Lac    1950 2433303 2433309  5.9  55 202  488  ---  13.8  2100  J(202)
LZ Mus    1998 2451175 2451177  8.5   4  12  129  --- >18.    ---  P(12)
BT Mon    1939 2429516 2429518  8.1 118 182  610  ---  15.7  5000  F(182)
IM Nor    2002 2452264 2452289  8.5  50  80  253  471  18.3   761  P(80)
RS Oph    2006 2453778 2453779  4.8   7  14   88  ---  11.0    93  P(14)
V849 Oph  1919 2422179 2422216  7.6 140 270 2010  ---  18.8   ---  F(270)
V2214 Oph 1988 2447248 2447262  8.5  60  89  777  ---  20.5   ---  S(89)
V2264 Oph 1991 2448357 2448361 10.0  22  30  ---  --- >21.    ---  S(30)
V2295 Oph 1993 2449091 2449096  9.3   9  16  129  --- >21.    ---  F(16)
V2313 Oph 1994 2449504 2449506  7.5   8  17  281  --- >20.    ---  S(17)
V2487 Oph 1998 2450979 2450980  9.5   6   8   52  ---  17.7   ---  P(8)
V2540 Oph 2002 2452299 2452373  8.1  66 115  ---  --- >21.    ---  J(115)
GK Per    1901 2415437 2415440  0.2   6  13  179  444  13.0   ---  O(13)
RR Pic    1925 2424298 2424309  1.0  73 122 1008 5805  12.2 16000  J(122)
CP Pup    1942 2430672 2430676  0.7   4   8  114  748 >19.5  5600a P(8)
V351 Pup  1991 2448617 2448618  6.4   9  26  436  ---  19.6   ---  P(26)
V445 Pup  2000 2451872 2451877  8.6 215 240  ---  ---  14.6   ---  D(240)
V574 Pup  2004 2453330 2453331  7.0  12  27  199  ---  17.2   840  S(27)
T Pyx     1967 2439466 2439506  6.4  32  62  175  ---  15.5   830  P(62)
HS Sge    1977 2443149 2443151  7.2  15  21  537  ---  20.7   ---  P(21)
V732 Sgr  1936 2428275 2428286  6.4  65  75  481  --- ~16.    ---  D(75)
V3890 Sgr 1990 2448007 2448009  8.1   6  14   28  ---  15.5   ---  S(14)
V4021 Sgr 1977 2443229 2443234  8.9  56 215  570  ---  18.0   ---  P(215)
V4160 Sgr 1991 2448457 2448467  7.0   2   3   22  --- >19.    ---  S(3)
V4169 Sgr 1992 2448806 2448814  7.9  24  36  375  --- >17.    ---  S(36)
V4444 Sgr 1999 2451293 2451295  7.6   5   9   61  --- >21.    ---  S(9)
V4633 Sgr 1998 2450893 2450896  7.4  17  44  601  ---  18.7  3000a P(44)
V4643 Sgr 2001 2451963 2451965  7.7   3   6   43  --- >16.    ---  S(6)
V4739 Sgr 2001 2452147 2452149  7.2   2   3   17  --- >18.    ---  S(3)
V4740 Sgr 2001 2452157 2452158  6.7  18  33  150  --- >18.    ---  S(33)
V4742 Sgr 2002 2452531 2452534  7.9   9  23  250  --- >18.    ---  S(23)
V4743 Sgr 2002 2452535 2452538  5.0   6  12  170  680  16.8   ---  S(12)
V4745 Sgr 2003 2452738 2452743  7.3  79 190  ---  --- >17.    ---  J(190)
V5114 Sgr 2004 2453079 2453082  8.1   9  21  103  --- >21.    ---  S(21)
V5115 Sgr 2005 2453456 2453460  7.9   7  13  134  --- >18.    ---  S(13)
V5116 Sgr 2005 2453556 2453557  7.6  12  26  ---  --- >16.    ---  S(26)
U Sco     1999 2451235 2451235  7.5   1   3   11  ---  17.6   ---  P(3)
V992 Sco  1992 2448763 2448769  7.7 100 120  765  ---  17.2   ---  D(120)
V1186 Sco 2004 2453188 2453205  9.7  12  62  ---  --- >18.    ---  J(62)
V1187 Sco 2004 2453218 2453223  9.8  10  17  ---  ---  18.0   ---  S(17)
V1188 Sco 2005 2453575 2453578  8.9  11  23   65  --- >19.    ---  S(23)
V373 Sct  1975 2442529 2442543  6.1  47  79  237  700 >18.3   ---  J(79)
V443 Sct  1989 2447777 2447787  8.5  33  60  ---  --- >20.    ---  J(60)
FH Ser    1970 2440630 2440634  4.5  49  62  410 1666  16.8   ---  D(62)
LW Ser    1978 2443567 2443573  8.3  32  52  211  ---  19.4   ---  D(52)
V382 Vel  1999 2451319 2451322  2.8   6  13  154  542  16.6   ---  S(13)
LV Vul    1968 2439960 2439964  4.5  20  38  280  784  15.3  1500  S(38)
NQ Vul    1976 2443072 2443085  6.2  21  50  365 1269  17.2   ---  D(50)
PW Vul    1984 2445908 2445918  6.4  44 116  474 1366  16.9   ---  J(116)
QU Vul    1984 2446056 2446061  5.3  20  36  814 1445  17.9   ---  P(36)
QV Vul    1987 2447116 2447127  7.1  37  47  388  ---  18.0   ---  D(47)
